timestamp,gas_value,fan_on
2025-12-10T13:45:27.866229,0,0
2025-12-10T13:45:28.367218,0,0
2025-12-10T13:45:28.868316,0,0
2025-12-10T13:45:29.369419,0,0
2025-12-10T13:45:29.870501,0,0
2025-12-10T13:57:25.147830,1021,1
2025-12-10T13:57:25.649135,1023,1
2025-12-10T13:57:26.150651,1023,1
2025-12-10T13:57:26.652447,1022,1
2025-12-10T13:57:27.153824,1022,1
2025-12-10T13:57:27.655405,1022,1
2025-12-10T13:57:28.157314,1023,1
2025-12-10T13:57:28.658689,1023,1
2025-12-10T13:57:29.160125,1023,1
2025-12-10T13:57:29.661514,1020,1
2025-12-10T13:59:35.249408,80,0
2025-12-10T13:59:35.750362,80,0
2025-12-10T13:59:36.251442,81,0
2025-12-10T13:59:36.752541,80,0
2025-12-10T13:59:37.253659,79,0
2025-12-10T13:59:37.755037,77,0
2025-12-10T13:59:38.256431,77,0
2025-12-10T13:59:38.757742,76,0
2025-12-10T13:59:39.259031,75,0
2025-12-10T13:59:39.760061,74,0
2025-12-10T13:59:40.261108,106,0
2025-12-10T13:59:40.762128,172,0
2025-12-10T13:59:41.263166,234,0
2025-12-10T13:59:41.764182,272,0
2025-12-10T13:59:42.265244,296,0
2025-12-10T13:59:42.766302,314,1
2025-12-10T13:59:43.267354,324,1
2025-12-10T13:59:43.768427,334,1
2025-12-10T13:59:44.269557,342,1
2025-12-10T13:59:44.770903,347,1
2025-12-10T13:59:45.272274,350,1
2025-12-10T13:59:45.773558,352,1
2025-12-10T13:59:46.274573,349,1
2025-12-10T13:59:46.779636,337,1
2025-12-10T13:59:47.280693,307,1
2025-12-10T13:59:47.781739,283,0
2025-12-10T13:59:48.282864,263,0
2025-12-10T13:59:48.784131,239,0
2025-12-10T13:59:49.285592,212,0
2025-12-10T13:59:49.786671,190,0
2025-12-10T13:59:50.287733,172,0
2025-12-10T13:59:50.788887,161,0
2025-12-10T13:59:51.290251,150,0
2025-12-10T13:59:51.796705,141,0
2025-12-10T13:59:52.298073,133,0
2025-12-10T14:14:51.617840,26,0
2025-12-10T14:14:52.119013,26,0
2025-12-10T14:14:52.620064,26,0
